Flags	1
SA-Sample	1 in 16
FTab-Chars	10
Sequence-1426	NC_006965.1 Strawberry latent ringspot virus RNA2, complete sequence	3842
Sequence-1427	NC_006951.1 Erethizon dorsatum papillomavirus type 1, complete genome	7428
Sequence-1428	NC_001467.1 African cassava mosaic virus isolate West Kenyan 844 segment DNA1, complete sequence	2779
Sequence-1429	NC_001468.1 African cassava mosaic virus isolate West Kenyan 844 segment DNA2, complete sequence	2724
Sequence-1430	NC_000869.1 Tomato yellow leaf curl Thailand virus DNA A, complete sequence	2751
Sequence-1431	NC_000870.1 Tomato yellow leaf curl Thailand virus DNA B, complete sequence	2737
Sequence-1432	NC_003397.1 Bean common mosaic virus, complete genome	9992
Sequence-1433	NC_003930.1 Salmon pancreas disease virus, complete genome	11919
Sequence-1434	NC_004086.1 Sulfolobus islandicus rod-shaped virus 2, complete genome	35450
Sequence-1435	NC_004300.1 Croton yellow vein mosaic virus, complete genome	2757
Sequence-1436	NC_001608.3 Marburg marburgvirus isolate Marburg virus/H.sapiens-tc/KEN/1980/Mt. Elgon-Musoke, complete genome	19111
Sequence-1437	NC_004626.1 Ageratum yellow vein virus, complete genome	2741
Sequence-1438	NC_001725.1 Strawberry vein banding virus, complete genome	7876
Sequence-1439	NC_006874.1 Tomato leaf curl Madagascar virus-Menabe [Madagascar:Morondova:2001], complete genome	2777
Sequence-1440	NC_005283.1 Dolphin morbillivirus, complete genome	15702
Sequence-1441	NC_001871.1 Feline foamy virus, complete genome	10479
Sequence-1442	NC_006820.1 Synechococcus phage S-PM2, complete genome	196280
Sequence-1443	NC_005069.1 Yersinia phage PY54, complete genome	46339
Sequence-1444	NC_006631.1 Malvastrum yellow vein Yunnan virus, complete genome	2747
Sequence-1445	NC_003381.1 Banana streak OL virus, complete genome	7389
Sequence-1446	NC_001463.1 Caprine arthritis-encephalitis virus, complete genome	9189
Sequence-1447	NC_002076.2 Torque teno virus 1, complete genome	3852
Sequence-1448	NC_006579.1 Pneumonia virus of mice J3666, complete genome	14885
Sequence-1449	NC_007024.1 Xanthomonas phage Xp15, complete genome	55770
Sequence-1450	NC_007050.1 Staphylococcus phage 85, complete genome	44283
Sequence-1451	NC_007047.1 Staphylococcus phage 187, complete genome	39620
Sequence-1452	NC_007052.1 Staphylococcus phage 42e, complete genome	45861
Sequence-1453	NC_007056.1 Staphylococcus phage EW, complete genome	45286
Sequence-1454	NC_007060.1 Staphylococcus phage 55, complete genome	41902
Sequence-1455	NC_007064.1 Staphylococcus phage 92, complete genome	42431
Sequence-1456	NC_002031.1 Yellow fever virus, complete genome	10862
Sequence-1457	NC_003491.1 Beet mild yellowing virus, complete genome	5722
Sequence-1458	NC_003602.1 Grapevine virus B, complete genome	7599
Sequence-1459	NC_002615.1 European brown hare syndrome virus, complete genome	7442
Sequence-1460	NC_003985.1 Porcine teschovirus 1, complete genome	7117
Sequence-1461	NC_002470.1 Turkey astrovirus, complete genome	7003
Sequence-1462	AC_000003.1 Canine adenovirus 1, complete genome	30536
Sequence-1463	AC_000008.1 Human adenovirus 5, complete genome	35938
Sequence-1464	AC_000019.1 Human adenovirus type 35, complete genome	34794
Sequence-1465	NC_005898.1 Dendrolimus punctatus tetravirus RNA1, complete genome	5492
Sequence-1466	NC_005899.1 Dendrolimus punctatus tetravirus RNA2, complete genome	2490
Sequence-1467	NC_002072.2 Streptococcus phage DT1, complete genome	34815
Sequence-1468	NC_004117.1 Mamestra configurata NPV-B, complete genome	158482
Sequence-1469	NC_005093.1 Hirame rhabdovirus, complete genome	11034
Sequence-1470	NC_006884.2 Prochlorococcus phage P-SSM4, complete genome	178249
Sequence-1471	NC_004928.1 Enterobacteria phage RB69, complete genome	167560
Sequence-1472	NC_006934.1 Reticuloendotheliosis virus strain HA9901 from China, complete genome	8295
Sequence-1473	NC_006947.1 Karshi virus, complete genome	10653
Sequence-1474	NC_006941.1 Cucumber vein yellowing virus, complete genome	9751
Sequence-1475	NC_006952.1 Cowpea severe leaf curl-associated DNA beta, complete genome	1379
Sequence-1476	NC_006956.1 Begomovirus-associated DNA-II, complete genome	1032
Sequence-1477	NC_006935.1 Cotton leaf curl Gezira virus-associated DNA beta isolate CLC55-C, complete sequence	1348
Sequence-1478	NC_006950.1 Citrus sudden death-associated virus, complete genome	6820
Sequence-1479	NC_006949.1 Enterobacteria phage ES18, complete genome	46900
Sequence-1480	NC_004211.1 Banna virus strain JKT-6423 segment 1, complete sequence	3747
Sequence-1481	NC_004201.1 Banna virus segment 10, complete sequence	977
Sequence-1482	NC_004200.1 Banna virus segment 11, complete sequence	867
Sequence-1483	NC_004198.1 Banna virus segment 12, complete sequence	862
Sequence-1484	NC_004217.1 Banna virus strain JKT-6423 segment 2, complete sequence	3048
Sequence-1485	NC_004218.1 Banna virus strain JKT-6423 segment 3, complete sequence	2400
Sequence-1486	NC_004219.1 Banna virus strain JKT-6423 segment 4, complete sequence	2038
Sequence-1487	NC_004220.1 Banna virus strain JKT-6423 segment 5, complete sequence	1716
Sequence-1488	NC_004221.1 Banna virus strain JKT-6423 segment 6, complete sequence	1671
Sequence-1489	NC_004204.1 Banna virus segment 7, complete sequence	1136
Sequence-1490	NC_004203.1 Banna virus segment 8, complete sequence	1119
Sequence-1491	NC_004202.1 Banna virus segment 9, complete sequence	1101
Sequence-1492	NC_004005.1 Tomato yellow leaf curl virus, complete genome	2781
Sequence-1493	NC_003348.1 Phocoena spinipinnis papillomavirus, complete genome	7879
Sequence-1494	NC_003399.1 Scallion mosaic virus, complete genome	9324
Sequence-1495	NC_004651.1 Squash leaf curl Yunnan virus, complete genome	2714
Sequence-1496	NC_001348.1 Human herpesvirus 3, complete genome	124884
Sequence-1497	NC_002649.1 Bacillus phage GA-1, complete genome	21129
Sequence-1498	NC_003983.1 Equine rhinitis B virus 1, complete genome	8828
Sequence-1499	NC_006944.1 Mint virus 1, complete genome	15450
Sequence-1500	NC_005285.1 Pelargonium necrotic spot virus, complete genome	4744
Sequence-1501	NC_001798.2 Human herpesvirus 2 strain HG52, complete genome	154675
Sequence-1502	NC_004290.1 Acheta domesticus densovirus, complete genome	5234
Sequence-1503	NC_005045.1 Pseudomonas phage phiKMV, complete genome	42519
Sequence-1504	NC_005965.1 Gremmeniella abietina RNA virus L2, complete genome	5129
Sequence-1505	NC_006955.1 Banana streak Mysore virus, complete genome	7650
Sequence-1506	NC_001659.2 African swine fever virus strain BA71V, complete genome	170101
Sequence-1507	NC_007021.1 Staphylococcus phage Twort, complete genome	130706
Sequence-1508	NC_003006.1 Cypovirus 14 RNA 1, complete sequence	4329
Sequence-1509	NC_003015.1 Cypovirus 14 RNA 10, complete sequence	956
Sequence-1510	NC_003007.1 Cypovirus 14 RNA 2, complete sequence	4056
Sequence-1511	NC_003008.1 Cypovirus 14 RNA 3, complete sequence	3921
Sequence-1512	NC_003009.1 Cypovirus 14 RNA 4, complete sequence	3339
Sequence-1513	NC_003010.1 Cypovirus 14 RNA 5, complete sequence	3159
Sequence-1514	NC_003011.1 Cypovirus 14 RNA 6, complete sequence	1783
Sequence-1515	NC_003012.1 Cypovirus 14 RNA 7, complete sequence	1391
Sequence-1516	NC_003013.1 Cypovirus 14 RNA 8, complete sequence	1250
Sequence-1517	NC_003014.1 Cypovirus 14 RNA 9, complete sequence	1141
Sequence-1518	NC_007019.1 Streptococcus phage 2972, complete genome	34704
Sequence-1519	NC_004608.1 Mungbean yellow mosaic India virus DNA A, complete sequence	2745
Sequence-1520	NC_004609.1 Mungbean yellow mosaic India virus DNA B, complete sequence	2616
Sequence-1521	NC_007046.1 Staphylococcus phage 66, complete genome	18199
Sequence-1522	NC_007051.1 Staphylococcus phage 2638A, complete genome	41318
Sequence-1523	AC_000006.1 Human adenovirus D, complete genome	35100
Sequence-1524	AC_000017.1 Human adenovirus type 1, complete genome	36001
Sequence-1525	NC_005039.1 Yokose virus, complete genome	10857
Sequence-1526	NC_006566.1 Fragaria chiloensis latent virus RNA 1, complete genome	3431
Sequence-1527	NC_006567.1 Fragaria chiloensis latent virus RNA 2, complete genome	2570
Sequence-1528	NC_006568.1 Fragaria chiloensis latent virus RNA 3, complete sequence	2484
Sequence-1529	NC_005883.1 Chalara elegans RNA Virus 1, complete genome	5310
Sequence-1530	NC_003861.1 Sri Lankan cassava mosaic virus-[Colombo] DNA-A, complete genome, isolate SLCMV-Col	2755
Sequence-1531	NC_003862.1 Sri Lankan cassava mosaic virus-[Colombo] DNA-B, complete genome, isolate SLCMV-Col	2711
Sequence-1532	NC_006882.2 Prochlorococcus phage P-SSP7, complete genome	45176
Sequence-1533	NC_006577.2 Human coronavirus HKU1, complete genome	29926
Sequence-1534	NC_005859.1 Enterobacteria phage T5, complete genome	121750
Sequence-1535	NC_001554.1 Tomato bushy stunt virus, complete genome	4776
Sequence-1536	NC_006943.1 Hydrangea ringspot virus, complete genome	6185
Sequence-1537	NC_003848.1 Strawberry latent ringspot virus satellite RNA, complete genome	1118
Sequence-1538	NC_006939.1 Olive mild mosaic virus, complete genome	3683
Sequence-1539	NC_006942.1 Taro vein chlorosis virus, complete genome	12020
Sequence-1540	NC_006962.2 Blackberry yellow vein-associated virus RNA1, complete sequence	7800
Sequence-1541	NC_006963.2 Blackberry yellow vein-associated virus RNA2, complete genome	7916
Sequence-1542	NC_006946.1 Apricot pseudo-chlorotic leaf spot virus, complete genome	7494
Sequence-1543	NC_003832.1 Watermelon silver mottle virus segment L, complete sequence	8917
Sequence-1544	NC_003841.1 Watermelon silver mottle virus segment M, complete sequence	4880
Sequence-1545	NC_003843.1 Watermelon silver mottle virus segment S, complete sequence	3534
Sequence-1546	NC_004625.1 East African cassava mosaic Cameroon virus DNA A, complete sequence	2802
Sequence-1547	NC_004630.1 East African cassava mosaic Cameroon virus DNA B, complete sequence	2741
Sequence-1548	NC_004011.1 Leek yellow stripe virus, complete genome	10142
Sequence-1549	NC_003347.1 Grapevine fleck virus, complete genome	7564
Sequence-1550	NC_003434.1 Ageratum enation virus, complete genome	2746
Sequence-1551	NC_004750.1 Barley yellow dwarf virus - PAV, complete genome	5677
Sequence-1552	NC_001362.1 Friend murine leukemia virus FB29 complete genome	8323
Sequence-1553	NC_001702.1 Murine type C retrovirus, complete genome	8135
Sequence-1554	NC_003608.1 Hibiscus chlorotic ringspot virus, complete genome	3911
Sequence-1555	NC_006876.1 Tomato leaf curl Mayotte virus, complete genome	2768
Sequence-1556	NC_005974.1 Maize fine streak virus, complete genome	13782
Sequence-1557	NC_006428.1 Simian virus 41, complete genome	15450
Sequence-1558	NC_005807.1 Honeysuckle yellow vein virus-[UK1], complete genome	2784
Sequence-1559	NC_004827.1 Bacteriophage Aaphi23, complete genome	43033
Sequence-1560	NC_007003.1 Banana streak virus strain Acuminata Vietnam, complete genome	7801
Sequence-1561	NC_002796.1 Lactococcus phage BK5-T, complete genome	40003
Sequence-1562	NC_007026.1 Human picobirnavirus RNA segment 1, complete sequence	2525
Sequence-1563	NC_007027.1 Human picobirnavirus RNA segment 2, complete sequence	1745
Sequence-1564	NC_007013.1 Small anellovirus 1, complete genome	2249
Sequence-1565	NC_003722.1 Tobacco curly shoot virus, complete genome	2743
Sequence-1566	NC_007066.1 Staphylococcus phage G1, complete genome	138715
Sequence-1567	NC_007048.1 Staphylococcus phage 69, complete genome	42732
Sequence-1568	NC_007053.1 Staphylococcus phage 3A, complete genome	43095
Sequence-1569	NC_007057.1 Staphylococcus phage 96, complete genome	43576
Sequence-1570	NC_007061.1 Staphylococcus phage 29, complete genome	42802
Sequence-1571	NC_007065.1 Staphylococcus phage X2, complete genome	43440
Sequence-1572	AC_000007.1 Human adenovirus 2, complete genome	35937
Sequence-1573	AC_000018.1 Human adenovirus type 7, complete genome	35514
Sequence-1574	NC_001749.2 Apple stem grooving virus, complete genome	6495
Sequence-1575	NC_006875.1 Calicivirus isolate TCG, complete genome	7453
Sequence-1576	NC_006552.1 Pseudomonas phage F116, complete genome	65195
Sequence-1577	NC_006271.1 Cherry rasp leaf virus, complete genome	7034
Sequence-1578	NC_006272.1 Cherry rasp leaf virus RNA2, complete sequence	3315
Sequence-1579	NC_006883.2 Prochlorococcus phage P-SSM2, complete genome	252401
Sequence-1580	NC_003610.1 Kyuri green mottle mosaic virus, complete genome	6514
Sequence-1581	NC_001542.1 Rabies virus, complete genome	11932
Sequence-1582	NC_003630.1 Pepper mild mottle virus, complete genome	6357
Sequence-1583	NC_003266.2 Human adenovirus E, complete genome	35994
Sequence-1584	NC_006936.1 Lactobacillus phage phiJL-1, complete genome	36674
Sequence-1585	NC_006948.1 Mint virus X, complete genome	5914
Sequence-1586	NC_006945.1 Bacillus phage GIL16c, complete genome	14844
Sequence-1587	NC_006961.1 Pleurotus ostreatus virus 1 RNA-1, complete genome	2296
Sequence-1588	NC_006960.1 Pleurotus ostreatus virus 1 RNA-2, complete genome	2223
Sequence-1589	NC_006953.1 Listonella phage phiHSIC, complete genome	37966
Sequence-1590	NC_004674.1 East African cassava mosaic virus DNA A, complete sequence	2799
Sequence-1591	NC_004676.1 East African cassava mosaic virus DNA B, complete sequence	2777
Sequence-1592	NC_004065.1 Murid herpesvirus 1, complete genome	230278
Sequence-1593	NC_000939.2 Pothos latent virus genes for replicase, capsid protein and movement protein	4415
Sequence-1594	NC_003878.1 Zucchini green mottle mosaic virus, complete genome	6513
Sequence-1595	NC_004618.1 Chayote yellow mosaic virus, complete genome	2787
Sequence-1596	NC_001611.1 Variola virus, complete genome	185578
Sequence-1597	NC_001728.1 Odontoglossum ringspot virus, complete genome	6618
Sequence-1598	NC_003982.1 Equine rhinitis A virus, complete genome	7734
Sequence-1599	NC_001818.1 Galinsoga mosaic virus, complete genome	3803
Sequence-1600	NC_005947.1 Avian endogenous retrovirus EAV-HP, complete genome	4302
Sequence-1601	NC_001806.2 Human herpesvirus 1 strain 17, complete genome	152222
Sequence-1602	NC_001815.1 Simian T-lymphotropic virus 2, complete genome	8855
Sequence-1603	NC_005778.1 Chilli veinal mottle virus, complete genome	9711
Sequence-1604	NC_006264.1 Gremmeniella abietina mitochondrial RNA virus S2, complete genome	2587
Sequence-1605	NC_006995.1 Senecio yellow mosaic virus, complete genome	2746
Sequence-1606	NC_006998.1 Vaccinia virus, complete genome	194711
Sequence-1607	NC_007028.1 Microplitis demolitor bracovirus segment A, complete genome	3611
Sequence-1608	NC_007029.1 Microplitis demolitor bracovirus segment B, complete genome	6307
Sequence-1609	NC_007031.1 Microplitis demolitor bracovirus segment C, complete genome	7228
Sequence-1610	NC_007033.1 Microplitis demolitor bracovirus segment D, complete genome	7823
Sequence-1611	NC_007030.2 Microplitis demolitor bracovirus segment E, partial sequence	4576
Sequence-1612	NC_007032.1 Microplitis demolitor bracovirus segment F, complete genome	9604
Sequence-1613	NC_007034.1 Microplitis demolitor bracovirus segment G, complete genome	10790
Sequence-1614	NC_007035.1 Microplitis demolitor bracovirus segment H, complete genome	11238
Sequence-1615	NC_007041.1 Microplitis demolitor bracovirus segment I, complete sequence	13279
Sequence-1616	NC_007036.1 Microplitis demolitor bracovirus segment J, complete genome	13704
Sequence-1617	NC_007037.1 Microplitis demolitor bracovirus segment K, complete genome	15058
Sequence-1618	NC_007040.1 Microplitis demolitor bracovirus segment L, complete genome	15096
Sequence-1619	NC_007038.1 Microplitis demolitor bracovirus segment M, complete genome	15218
Sequence-1620	NC_007039.1 Microplitis demolitor bracovirus segment N, complete genome	17355
Sequence-1621	NC_007044.1 Microplitis demolitor bracovirus segment O, complete genome	34334
Sequence-1622	NC_001948.1 Rupestris stem pitting associated virus-1, complete genome	8744
Sequence-1623	NC_007014.1 Small anellovirus 2, complete genome	2635
Sequence-1624	NC_004356.1 Tobacco leaf curl Yunnan virus - [Y136], complete genome	2750
Sequence-1625	NC_007045.1 Staphylococcus phage PT1028, complete genome	15603
Sequence-1626	NC_007049.1 Staphylococcus phage 53, complete genome	43883
Sequence-1627	NC_007054.1 Staphylococcus phage 47, complete genome	44777
Sequence-1628	NC_007058.1 Staphylococcus phage ROSA, complete genome	43155
Sequence-1629	NC_007062.1 Staphylococcus phage 52A, complete genome	41690
Sequence-1630	NC_003215.1 Semliki forest virus, complete genome	11442
Sequence-1631	NC_003615.1 Grapevine fanleaf virus RNA 1, complete sequence	7342
Sequence-1632	NC_003623.1 Grapevine Fanleaf virus (GFLV-F13) RNA2 encoding capsid protein	3774
Sequence-1633	NC_007055.1 Staphylococcus phage 37, complete genome	43681
Sequence-1634	NC_007059.1 Staphylococcus phage 71, complete genome	43114
Sequence-1635	NC_007063.1 Staphylococcus phage 88, complete genome	43231
Sequence-1636	NC_003549.1 Cowpea mosaic virus RNA 1, complete sequence	5889
Sequence-1637	NC_003550.1 Cowpea mosaic virus (CPMV) middle-component RNA (M RNA)	3481
